company_name,official_url,recruit_page,medical_keywords,medical_keyword_count,medical_domains,medical_domain_scores,total_medical_score
日本医療機器協会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器工業会,https://www.jfmda.gr.jp/,,,1,,{},18
日本医療機器商工会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術研究所,https://www.jmtr.co.jp/,,,1,,{},18
日本医療機器技術協会,https://www.jmta.or.jp/,,,1,,{},18
日本医療機器技術センター,https://www.jmct.or.jp/,,,1,,{},18
日本医療機器技術開発機構,https://www.jmdc.co.jp/,https://www.jmdc.co.jp/recruit/,"医療,ヘルスケア,検査,医療データ",4,医療データ・AI,{'医療データ・AI': 1},72
日本医療機器技術振興協会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興財団,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興センター,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興機構,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興協議会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連盟,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興団体,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連合,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡協議会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡機構,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡財団,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡センター,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡協会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡連盟,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡団体,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡連合,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡連絡会,https://www.jmda.or.jp/,,,1,,{},18
日本医療機器技術振興連絡連絡協議会,https://www.jmda.or.jp/,,,1,,{},18
MICIN,https://micin.jp/,https://recruit.micin.jp,"医療,患者,臨床,医療機器,診断,オンライン診療,医療データ",7,"医療機器メーカー,医療データ・AI","{'医療機器メーカー': 1, '医療データ・AI': 1}",108
メディカルノート,https://medicalnote.co.jp/,,,1,,{},18
カケハシ,https://kakehashi.life/,,,0,,{},12
メディカルフォース,https://medical-force.com/,,,1,,{},18
ドクターメイト,https://doctormate.co.jp/,https://doctormate.co.jp/seminar/seminar-19840,"医療,看護,介護,医療情報,オンライン診療",5,介護・福祉,{'介護・福祉': 1},81
Ubie,https://ubie.life/,,,0,,{},12
メドレー,https://www.medley.jp/,https://www.medley.jp/team/,"医療,オンライン診療",2,,{},30
エムスリーデジタルコミュニケーションズ,https://www.m3dc.co.jp/,https://open.talentio.com/r/1/c/m3dc/homes/3519,,0,,{},12
メディカルデータビジョン,https://www.mdv.co.jp/,https://www.mdv.co.jp/recruit/,"医療,患者,看護,オンライン診療",4,,{},63
JMDC,https://www.jmdc.co.jp/,https://www.jmdc.co.jp/recruit/,"医療,ヘルスケア,検査,医療データ",4,医療データ・AI,{'医療データ・AI': 1},72
レイヤード,https://layered.inc/,https://layered.inc/recruit/,"医療,患者,介護,医療SaaS",4,介護・福祉,{'介護・福祉': 1},72
アルム,https://www.allm.net/,https://recruit.allm.net/,"医療,介護,ヘルスケア,診断",4,介護・福祉,{'介護・福祉': 1},72
CureApp,https://cureapp.co.jp/,,,0,,{},12
Welby,https://welby.jp/,,,0,,{},12
メディカルAIプラットフォーム,https://www.medicalaiplatform.com/,,,1,,{},18
メディカルシステムネットワーク,https://www.msnw.co.jp/,https://www.msnw.co.jp/recruit/,,1,,{},18
ドクターズプライム,https://drsprime.com/,,,0,,{},12
メディカルチェックスタジオ,https://medicalcheckstudio.jp/,,,1,,{},18
メディカル・ケア・サービス,https://www.mcsg.co.jp/,https://www.mcsg.co.jp/recruit/,介護,1,介護・福祉,{'介護・福祉': 1},30
メディカルリソース,https://www.medicalresource.co.jp/,,,1,,{},18
メディカルコンシェルジュ,https://www.concier.com/,https://www.concier.com/recruit,介護,1,介護・福祉,{'介護・福祉': 1},30
メディカルサポート,https://www.medical-support.co.jp/,https://medical-support.co.jp/recruit/,"医療,患者,看護",3,,{},36
メディカルリンク,https://www.medical-link.co.jp/,https://medical-link.co.jp/recruiting/,"医療,臨床,看護,検査",4,,{},63
メディカルアーク,https://www.medical-ark.co.jp/,https://www.medical-ark.co.jp/igakubuyobiko-koshisaiyou2018/,検査,1,,{},24
メディカルシステム研究所,https://www.msk.co.jp/,https://www.msk.co.jp/recruit/,,1,,{},18
メディカルアシスト,https://www.medicalassist.co.jp/,,,1,,{},18
メディカルアドバンス,https://www.medicaladvance.co.jp/,,,1,,{},18
メディカルサーブ,https://www.medicalserve.co.jp/,,,1,,{},18
メディカルネット,https://www.medi-net.co.jp/,,,1,,{},18
メディカルパートナー,https://www.medical-partner.co.jp/,,,1,,{},18
メディカルクリエイト,https://www.medicalcreate.co.jp/,,,1,,{},18
メディカルブレイン,https://www.medicalbrain.co.jp/,,,1,,{},18
メディカルクラウド,https://www.medicalcloud.co.jp/,,,1,,{},18
メディカルデザイン,https://www.medicaldesign.co.jp/,,,1,,{},18
メディカルエージェンシー,https://www.medicalagency.co.jp/,,,1,,{},18
メディカルアライアンス,https://www.medical-alliance.co.jp/,,,1,,{},18
メディカルソリューションズ,https://www.medicalsolutions.co.jp/,,,1,,{},18
メディカルサイエンス,https://www.medicalscience.co.jp/,,,1,,{},18
メディカルテクノロジーズ,https://www.medicaltech.co.jp/,https://recruit.vectorinc.co.jp/,,1,,{},18
メディカルプラットフォーム,https://www.medicalplatform.co.jp/,,,1,,{},18
メディカルアプリケーションズ,https://www.medicalapps.co.jp/,,,1,,{},18
メディカルデジタル,https://www.medicaldigital.co.jp/,,,1,,{},18
メディカルイノベーション,https://www.medicalinnovation.co.jp/,,,1,,{},18
メディカルアナリティクス,https://www.medicalanalytics.co.jp/,,,1,,{},18
メディカルデータラボ,https://www.medicaldatalab.co.jp/,,,1,,{},18
メディカルAI研究所,https://www.medicalai.co.jp/,,,1,,{},18
メディカルDX研究所,https://www.medicaldx.co.jp/,,,1,,{},18
メディカルクラウドサービス,https://www.medicalcloudservice.co.jp/,,,1,,{},18
メディカルデータサービス,https://www.medicaldataservice.co.jp/,,,1,,{},18
メディカルソフトウェア,https://www.medicalsoftware.co.jp/,,,1,,{},18
メディカルアプリ研究所,https://www.medicalapp.co.jp/,,,1,,{},18
メディカルデータリンク,https://www.medicaldatalink.co.jp/,,,1,,{},18
メディカルデータソリューション,https://www.medicaldatasolutions.co.jp/,,,1,,{},18
メディカルデータテクノロジー,https://www.medicaldatatech.co.jp/,,,1,,{},18
メディカルデータプラットフォーム,https://www.medicaldatapf.co.jp/,,,1,,{},18
メディカルデータエンジン,https://www.medicaldataengine.co.jp/,,,1,,{},18
メディカルデータアナリティクス,https://www.medicaldataanalytics.co.jp/,,,1,,{},18
